iter	Quantile:alpha=0.5
0	2.741021704
1	2.726852815
2	2.721577258
3	2.719493101
4	2.703364517
5	2.68972219
6	2.680839073
7	2.670414551
8	2.658944006
9	2.652203006
10	2.64277366
11	2.632208363
12	2.624699248
13	2.61973095
14	2.6118056
15	2.603507394
16	2.597035062
17	2.59432795
18	2.589346918
19	2.577826199
20	2.567410695
21	2.560257388
22	2.557884318
23	2.55506922
24	2.548665848
25	2.545823881
26	2.543150537
27	2.534747617
28	2.529970431
29	2.524338675
30	2.520292602
31	2.518382326
32	2.517670104
33	2.517609122
34	2.516369844
35	2.513621225
36	2.50969928
37	2.506636986
38	2.504729757
39	2.501833599
40	2.499923878
41	2.495575294
42	2.491810686
43	2.486806936
44	2.484976904
45	2.483272312
46	2.479914306
47	2.47838307
48	2.477036281
49	2.475050893
50	2.473478078
51	2.46832973
52	2.465836276
53	2.46397954
54	2.462153536
55	2.456873234
56	2.455804988
57	2.453422622
58	2.450731434
59	2.447481893
60	2.446543906
61	2.44116465
62	2.440941806
63	2.439974935
64	2.439530521
65	2.433031513
66	2.43039264
67	2.426684501
68	2.421925004
69	2.419966681
70	2.416663021
71	2.415464471
72	2.410893445
73	2.41088208
74	2.408227605
75	2.405163469
76	2.402704837
77	2.400793651
78	2.39848553
79	2.396640183
80	2.395711392
81	2.39425105
82	2.393881029
83	2.392879688
84	2.391017584
85	2.388334745
86	2.387202391
87	2.387097741
88	2.386735647
89	2.383648386
90	2.383158355
91	2.38060777
92	2.378216624
93	2.378171466
94	2.375938215
95	2.374135362
96	2.372597663
97	2.36834634
98	2.365729884
99	2.362050792
100	2.360215629
101	2.359631044
102	2.3564183
103	2.356287545
104	2.355098823
105	2.350852913
106	2.348642498
107	2.34651868
108	2.345251705
109	2.34284909
110	2.341719531
111	2.340325515
112	2.340321727
113	2.339034889
114	2.336056608
115	2.332888973
116	2.330931272
117	2.329989619
118	2.327943964
119	2.326987115
120	2.32617917
121	2.323856385
122	2.322322524
123	2.320177263
124	2.319628672
125	2.317794025
126	2.314153638
127	2.310456409
128	2.309449149
129	2.308184888
130	2.306115124
131	2.303516519
132	2.301660932
133	2.298891919
134	2.297114931
135	2.294941786
136	2.29242314
137	2.290349705
138	2.288619937
139	2.288332398
140	2.287187062
141	2.286287701
142	2.283857781
143	2.282772539
144	2.281409881
145	2.279057357
146	2.277961169
147	2.275799379
148	2.273351907
149	2.272448242
150	2.270885427
151	2.267300301
152	2.265569293
153	2.26475905
154	2.264681273
155	2.259098022
156	2.25830738
157	2.252347742
158	2.248258045
159	2.247431225
160	2.243952215
161	2.242649025
162	2.239214009
163	2.237332561
164	2.236317364
165	2.235526088
166	2.23429314
167	2.233223817
168	2.232017184
169	2.227620301
170	2.224934873
171	2.22364233
172	2.221988393
173	2.217852707
174	2.214085094
175	2.210580869
176	2.207604311
177	2.206431766
178	2.206149934
179	2.205550177
180	2.203927436
181	2.201530219
182	2.2000804
183	2.198652647
184	2.195680881
185	2.193252139
186	2.191967964
187	2.190596591
188	2.189353442
189	2.187465332
190	2.186337173
191	2.185320788
192	2.184193466
193	2.179968234
194	2.178743946
195	2.177836614
196	2.177546635
197	2.17579502
198	2.1714793
199	2.170756974
200	2.168909892
201	2.165833796
202	2.163529714
203	2.162929935
204	2.162688683
205	2.16198209
206	2.160573318
207	2.157689567
208	2.154942964
209	2.153477909
210	2.152522899
211	2.147415481
212	2.145922664
213	2.14501917
214	2.144334837
215	2.143817332
216	2.141527537
217	2.138833043
218	2.13840999
219	2.135384321
220	2.13490939
221	2.133850783
222	2.132706445
223	2.13077985
224	2.130294151
225	2.129562232
226	2.126004989
227	2.124627331
228	2.123348383
229	2.121741484
230	2.120337309
231	2.119091561
232	2.110690668
233	2.109285331
234	2.108186297
235	2.104972502
236	2.103216522
237	2.102281921
238	2.100759411
239	2.100582453
240	2.098725931
241	2.096074501
242	2.093013818
243	2.090132713
244	2.086807375
245	2.084803953
246	2.081869832
247	2.081656192
248	2.080064181
249	2.077769821
250	2.073917598
251	2.072470988
252	2.070392589
253	2.067955424
254	2.066751758
255	2.064722912
256	2.062095541
257	2.059382597
258	2.058858253
259	2.056253866
260	2.055528528
261	2.054003027
262	2.052715935
263	2.050461812
264	2.049697961
265	2.048957659
